Class name,Subject name,Unit names,Chapter names
,,Chapter 5,Shapres 
,,Chapter 6,Numbers 10--20
,,Chapter 7,Numbers 21-99
,,Chapter 8,Addition and subtraction 
,,Chapter 9,Patterns 
,,Chapter 10,Time 
,,Chapter 11,Money
,,Chapter 12,Measurement 
,,Chapter 13,Data Handling 
,,Chapter 14,Ordinal Numbers 
,,Chapter 15,Multiplication 
,EVS,Lesson 1,This is me
,,Lesson 2,My body
,,Lesson 3,Sense Organs 
,,Lesson 4,My family
,,Lesson 5,Clothes we wear
,,Lesson 6,My neighbourhood
,,Lesson 7,Our helping hands 
,,Lesson 8,Our festivals 
,,Lesson 9,Building habits 
,,Lesson 10,Air and water / safety rules 
,,Lesson 11,Plants around us
,,Lesson 12,Transport 
,,Lesson 13,Plants around us
,,Lesson 14,Animals around us 
,,Lesson 15,The earth
,,Lesson 16,Weather and seasons 
,COMPUTER SCIENCE ,Lesson 1,Computer my friend 
,,Lesson 2,Computer A machine 
,,Lesson 3,Uses of computer 
,,Lesson 4,Parts of computer 
,,Lesson 5,The Keyboard
,,Lesson 6,Using a mouse
,,Lesson 7,Data and storage
GRADE 2,English,Course Book - Lesson 1 ,"Goldilocks and the three bears, poem - what is pink grammar? "
,,Work Book - Lesson 1 ,Worksheet- Goldilocks and the 3 bears 
,,Grammar Lesson 1 ,Naming Words that are Nouns
,,CourseBook - Lesson 2,The Ant and the Grasshopper 
,,Workbook - Lesson 2,The Ant and the Grasshopper 
,,Grammar Lesson 2,Singular and Plural
,,Coursebook - Lesson 3,Tina's books
,,CourseBook - Lesson 4,Echo
,,Workbook - worksheet 3,The test 
,,Grammar - Lesson 4,Articles 
,,CourseBook - Lesson 5 ,"The spiders lesson, poem - My hat"
,,Grammar Lesson 5,Pronouns 
,,Grammar Lesson 6,Describing words are adjectives 
,,Coursebook - Lesson 8,"The hidden gift, poem - come little leaves"
,,Grammar Lesson 7 ,Actions words are verbs 
,,Coursebook Lesson 9 ,Things are Puzzling 
,,Grammar Lesson 8 &9,"Verbs Present and past, Helping Verbs "
,,Coursebook Lesson 20,"The Beach, Poem - The Moon "
,,Grammar Lesson 10 ,Verb+ing 
,,Grammar Lesson 11,Prepositions 
,,Grammar Lesson 12,Sentences 
,,Grammar Lesson 13,Linking Words 
,,Grammar Lesson 14,Comprehension 
,,Grammer Lesson 15 ,Composition 
,MATHS,Chapter 1,Numbers 100-200
,,Chapter 2,Numbers 201-1000
,,Chapter 3 ,Additon
,,Chapter 4 ,Subtraction 
,,chapter 5 ,Multiplication 
,,Chapter 6,Divison
,,Chapter 7 ,Basic Geometry
,,Chapter 8 ,time
,,Chapter 9,Money
,,Chapter 10 ,Measurement 
,,Chapter 11,Data Handling 
,,Chapter 12 ,Patterns 
,COMPUTER SCIENCE ,Lesson 1,Computer a smart machine
,,Lesson 2 ,Parts of a computer 
,,Lesson 7,Introduction to Scratch junior
,,Lesson 8,Animation in Scratch junior 
,TELUGU,Lesson 1,Family Members
,,Lesson 2,Varnmala 
,,Lesson 3,Names of Fruits/ Vegetabes/Flowers
,,Lesson 4,Names of week days
GRADE 1,ENGLISH,Coursebook - Lesson 1,Meet my family 
,,Coursebook - Lesson 2,"Off to school, poem - wake up time"
,,Coursebook - Lesson 3,Making new friends 
,,Grammar ,1. Naming Words
,,,2. Common Noun and Exact Noun (proper noun) 
,,Coursebook - Lesson 3,Making new friends 
,,Coursebook - Lesson 4,Let's have lunch (OTBA)
,,Grammar,1. Singular/ Plural (one/many)
,,,2. Action words 
,,Coursebook - Lesson 5,"The rabbit and the turtle, poem - the shell"
,,Grammar ,1. Articles: a/an
,,,2. Pronouns 
,,Coursebook - Lesson 6,"Picnic in the woods, poem - save each drop "
,,Grammar,Describing words  (adjectives)
,,Coursebook - Lesson 8,Thank you 
,,Coursebook Lesson 7,The New Watchman (OTBA)
,,Grammar,1. Simple Present 
,,,"2. Demonstrative Pronouns (This, that, These, Those)"
,,Coursebook - Lesson 9,"Brave Debby, Poem: Things I do "
,,Grammar ,1. Place words
,,,2. Punctuation 
,,Coursebook - Lesson 10,"Come, let us play, poem - Ice cream time "
,,Grammar ,1. Recap of punctuation
,,,2. Sentences 
,MATHEMATICS,Chapter 1,Numbers 1-9
,,Chapter 2,Addition
,,Chapter 3,Subtraction
,,Chapter 4,Positions
,,Chapter 5,Shapres 
,,Chapter 6,Numbers 10--20
,,Chapter 7,Numbers 21-99
,,Chapter 8,Addition and subtraction 
,,Chapter 9,Patterns 
,,Chapter 10,Time 
,,Chapter 11,Money
,,Chapter 12,Measurement 
,,Chapter 13,Data Handling 
,,Chapter 14,Ordinal Numbers 
,,Chapter 15,Multiplication 
,EVS,Lesson 1,This is me
,,Lesson 2,My body
,,Lesson 3,Sense Organs 
,,Lesson 4,My family
,,Lesson 5,Clothes we wear
,,Lesson 6,My neighbourhood
,,Lesson 7,Our helping hands 
,,Lesson 8,Our festivals 
,,Lesson 9,Building habits 
,,Lesson 10,Air and water / safety rules 
,,Lesson 11,Plants around us
,,Lesson 12,Transport 
,,Lesson 13,Plants around us
,,Lesson 14,Animals around us 
,,Lesson 15,The earth
,,Lesson 16,Weather and seasons 
,COMPUTER SCIENCE ,Lesson 1,Computer my friend 
,,Lesson 2,Computer A machine 
,,Lesson 3,Uses of computer 
,,Lesson 4,Parts of computer 
,,Lesson 5,The Keyboard
,,Lesson 6,Using a mouse
,,Lesson 7,Data and storage
